Date;mean_NTU_h;sd_NTU_h
1;2023-12-31;84.2571957612323;121.952024935165
2;2024-01-01;88.3281161883256;104.809868721652
3;2024-01-02;96.4348391366981;92.0632119534155
4;2024-01-03;104.907652194054;108.970972959199
5;2024-01-04;115.543910598798;128.814208558981
6;2024-01-05;89.2885664905537;95.7157807149081
7;2024-01-06;103.711162443872;106.552702506457
8;2024-01-07;93.1016610364046;88.6135208094492
9;2024-01-08;77.90339878359;68.5372011108598
10;2024-01-09;75.7895673956743;72.5471622776994
11;2024-01-10;74.9567403942404;66.2799812594981
12;2024-01-11;69.8605356417541;54.2214533879358
13;2024-01-12;59.3624301181319;44.9837496139369
14;2024-01-13;55.8348863924805;48.5696798315723
15;2024-01-14;59.7950833325;54.277564518263
16;2024-01-15;54.461036045045;57.1205948747709
17;2024-01-16;39.5496064965278;34.2623396184181
18;2024-01-17;52.6451881310356;41.8421747196493
19;2024-01-18;56.3226128706597;44.7584554343313
20;2024-01-19;73.6033415519802;60.6220155683734
21;2024-01-20;90.2242521367521;70.716562947202
22;2024-01-21;80.5126543267747;60.303728089459
23;2024-01-22;40.3054012407407;32.5813979070387
24;2024-01-23;49.6114942859195;40.3993076465831
25;2024-01-24;51.3994232093664;46.7154627841602
26;2024-01-25;64.7412415034014;49.4688330232135
27;2024-01-26;56.3785984270833;47.8629672021377
28;2024-01-27;40.1061872123288;19.5222471452191
29;2024-01-28;45.0843036523973;17.6345082652839
30;2024-01-29;48.9375;18.4718068599094
31;2024-01-30;75.6802976202381;59.2465714905887
32;2024-01-31;86.9841686091686;84.2011183730955
33;2024-02-01;62.5551948051948;52.9198163698438
34;2024-02-02;69.947072072072;63.287512450541
35;2024-02-03;76.9883578431373;53.6570592614008
36;2024-02-04;103.491071428571;64.8520259696374
37;2024-02-05;79.1777777777778;55.5683895722061
38;2024-02-06;53.3541666666667;30.0152710542433
39;2024-02-07;44.1761714100213;25.2135170312693
40;2024-02-08;36.2694013112491;17.2571550931212
41;2024-02-09;31.124213836478;14.6666427432926
42;2024-02-10;28.5609567901235;12.6557040263555
43;2024-02-11;46.5560770487421;74.3424059610879
44;2024-02-12;33.2406135531136;13.3014090450942
45;2024-02-13;32.4983333333333;13.5293336303281
46;2024-02-14;47.6762145276575;33.131237667734
47;2024-02-15;63.6986111094771;28.4967821223828
48;2024-02-16;50.2356060606061;25.7287373985555
49;2024-02-17;59.6899691358025;36.9925145545732
50;2024-02-18;54.5425;36.465807776094
51;2024-02-19;46.3156060621212;32.6840711419995
52;2024-02-20;56.1455303015152;34.5085011985412
53;2024-02-21;88.9822781385281;63.9556329669391
54;2024-02-22;77.0061011875;49.3157972127641
55;2024-02-23;69.9320987654321;34.2293290392382
56;2024-02-24;39.3669590643275;19.098912073029
57;2024-02-25;55.7156779632768;46.3616282067606
58;2024-02-26;73.8921130952381;60.6277054883069
59;2024-02-27;43.1054166666667;30.7420718058925
60;2024-02-28;89.7245738653725;57.2720893661119
61;2024-02-29;96.1948529411764;119.029822499824
62;2024-03-01;79.7588675213675;114.475318749087
63;2024-03-02;71.0831827038153;77.4330083394223
64;2024-03-03;82.3190025328283;46.8521357917226
65;2024-03-04;65.9689394404762;41.8301397553341
66;2024-03-05;67.4731012447257;51.3766203609919
67;2024-03-06;58.3425776723245;37.9489998076711
68;2024-03-07;56.781909293249;48.4285905674773
69;2024-03-08;60.1157268084192;46.9249332047434
70;2024-03-09;84.4694445;70.8490917056805
71;2024-03-10;82.6566323314433;76.9471936311342
72;2024-03-11;78.4137461567278;97.0294092083858
73;2024-03-12;58.0505072420945;79.5029448499317
74;2024-03-13;40.7294725199362;49.4969958749644
75;2024-03-14;36.2102559114173;36.3069896385803
76;2024-03-15;54.6979887055138;48.6299649104114
77;2024-03-16;48.0713573491162;56.4270053341539
78;2024-03-17;52.5088495728654;57.7411997311306
79;2024-03-18;54.8014679391026;57.812870118961
80;2024-03-19;45.7189129437883;60.4744825437632
81;2024-03-20;42.6137379719873;56.6569982076364
82;2024-03-21;38.0489131950231;61.724536771897
83;2024-03-22;34.5927523421362;47.7318885466036
84;2024-03-23;33.6651241422903;47.3803716255797
85;2024-03-24;40.1625388922222;60.0398119294644
86;2024-03-25;32.0310218034733;34.0372131928943
87;2024-03-26;33.5117505244161;26.4174873929108
88;2024-03-27;39.2000708832335;37.4824630767763
89;2024-03-28;43.1621047695238;49.5907416253577
90;2024-03-29;47.405241576276;45.1195641826001
91;2024-03-30;56.2709049178374;31.6812901824333
92;2024-03-31;62.3662999791429;26.3910824054882
93;2024-04-01;57.2353367580989;30.6404272344688
94;2024-04-02;49.5997534506903;36.9495596418853
95;2024-04-03;45.7607879954639;24.1964434364311
96;2024-04-04;60.0745126537524;26.4122078745527
97;2024-04-05;54.4098353283433;32.8902994506817
98;2024-04-06;43.1518098952096;27.6406392629804
99;2024-04-07;43.2470001897866;25.9313165310476
100;2024-04-08;38.6991173873274;22.8599794281645
101;2024-04-09;42.1382676623737;39.5916886073614
102;2024-04-10;35.8181350223262;27.3849450410748
103;2024-04-11;40.2522794039216;25.1250314761874
104;2024-04-12;42.0028921544118;47.4497985041458
105;2024-04-13;51.2615388833333;74.0656418365514
106;2024-04-14;58.827865225823;72.3414234970156
107;2024-04-15;53.5450095933908;67.7894432841288
108;2024-04-16;44.7166600811966;59.308662400724
109;2024-04-17;43.2741955679191;37.6043331827448
110;2024-04-18;44.4136274276961;34.1156347385805
111;2024-04-19;39.703317993865;26.2231809600531
112;2024-04-20;38.8038364070122;27.209924651962
