WAARNEMINGDATUM;HH;NTU_h;Year;Date
2022-01-07;23;37.3333333333333;2022;01-07
2022-01-08;00;NA;2022;01-08
2022-01-08;01;28;2022;01-08
2022-01-08;02;33;2022;01-08
2022-01-08;03;NA;2022;01-08
2022-01-08;04;34;2022;01-08
2022-01-08;05;34;2022;01-08
2022-01-08;06;NA;2022;01-08
2022-01-08;07;33;2022;01-08
2022-01-08;08;NA;2022;01-08
2022-01-08;09;36.3333333333333;2022;01-08
2022-01-08;10;33;2022;01-08
2022-01-08;11;32;2022;01-08
2022-01-08;12;29;2022;01-08
2022-01-08;13;NA;2022;01-08
2022-01-08;14;NA;2022;01-08
2022-01-08;15;NA;2022;01-08
2022-01-08;16;NA;2022;01-08
2022-01-08;17;22;2022;01-08
2022-01-08;18;NA;2022;01-08
2022-01-08;19;21.5;2022;01-08
2022-01-08;20;20;2022;01-08
2022-01-08;21;18.5;2022;01-08
2022-01-08;22;20;2022;01-08
2022-01-08;23;18;2022;01-08
2022-01-09;00;18.6666666666667;2022;01-09
2022-01-09;01;NA;2022;01-09
2022-01-09;02;NA;2022;01-09
2022-01-09;03;NA;2022;01-09
2022-01-09;04;15;2022;01-09
2022-01-09;05;16.5;2022;01-09
2022-01-09;06;14.25;2022;01-09
2022-01-09;07;15;2022;01-09
2022-01-09;08;NA;2022;01-09
2022-01-09;09;12;2022;01-09
2022-01-09;10;NA;2022;01-09
2022-01-09;11;NA;2022;01-09
2022-01-09;12;NA;2022;01-09
2022-01-09;13;14.5;2022;01-09
2022-01-09;14;NA;2022;01-09
2022-01-09;15;NA;2022;01-09
2022-01-09;16;NA;2022;01-09
2022-01-09;17;NA;2022;01-09
2022-01-09;18;11;2022;01-09
2022-01-09;19;14.3333333333333;2022;01-09
2022-01-09;20;14.3333333333333;2022;01-09
2022-01-09;21;11;2022;01-09
2022-01-09;22;NA;2022;01-09
2022-01-09;23;15;2022;01-09
2022-01-10;00;NA;2022;01-10
2022-01-10;01;NA;2022;01-10
2022-01-10;02;NA;2022;01-10
2022-01-10;03;9;2022;01-10
2022-01-10;04;11.4;2022;01-10
2022-01-10;05;NA;2022;01-10
2022-01-10;06;13;2022;01-10
2022-01-10;07;13;2022;01-10
2022-01-10;08;13;2022;01-10
2022-01-10;09;14;2022;01-10
2022-01-10;10;19;2022;01-10
2022-01-10;11;19;2022;01-10
2022-01-10;12;17;2022;01-10
2022-01-10;13;18;2022;01-10
2022-01-10;14;21;2022;01-10
2022-01-10;15;20;2022;01-10
2022-01-10;16;20;2022;01-10
2022-01-10;17;17.75;2022;01-10
2022-01-10;18;NA;2022;01-10
2022-01-10;19;18;2022;01-10
2022-01-10;20;NA;2022;01-10
2022-01-10;21;13;2022;01-10
2022-01-10;22;NA;2022;01-10
2022-01-10;23;14;2022;01-10
2022-01-11;00;18;2022;01-11
2022-01-11;01;13;2022;01-11
2022-01-11;02;17;2022;01-11
2022-01-11;03;NA;2022;01-11
2022-01-11;04;11;2022;01-11
2022-01-11;05;14.6666666666667;2022;01-11
2022-01-11;06;NA;2022;01-11
2022-01-11;07;16;2022;01-11
2022-01-11;08;14;2022;01-11
2022-01-11;09;NA;2022;01-11
2022-01-11;10;NA;2022;01-11
2022-01-11;11;NA;2022;01-11
2022-01-11;12;NA;2022;01-11
2022-01-11;13;11.5;2022;01-11
2022-01-11;14;7.5;2022;01-11
2022-01-11;15;NA;2022;01-11
2022-01-11;16;6;2022;01-11
2022-01-11;17;7;2022;01-11
2022-01-11;18;NA;2022;01-11
2022-01-11;19;7;2022;01-11
2022-01-11;20;NA;2022;01-11
2022-01-11;21;6;2022;01-11
2022-01-11;22;6;2022;01-11
2022-01-11;23;6;2022;01-11
2022-01-12;00;NA;2022;01-12
2022-01-12;01;6.33333333333333;2022;01-12
2022-01-12;02;6;2022;01-12
2022-01-12;03;7;2022;01-12
2022-01-12;04;7.25;2022;01-12
2022-01-12;05;7;2022;01-12
2022-01-12;06;NA;2022;01-12
2022-01-12;07;7.33333333333333;2022;01-12
2022-01-12;08;NA;2022;01-12
2022-01-12;09;8;2022;01-12
2022-01-12;10;8;2022;01-12
2022-01-12;11;8;2022;01-12
2022-01-12;12;7.66666666666667;2022;01-12
2022-01-12;13;7;2022;01-12
2022-01-12;14;7;2022;01-12
2022-01-12;15;NA;2022;01-12
2022-01-12;16;NA;2022;01-12
2022-01-12;17;NA;2022;01-12
2022-01-12;18;7;2022;01-12
2022-01-12;19;NA;2022;01-12
2022-01-12;20;7;2022;01-12
2022-01-12;21;7;2022;01-12
2022-01-12;22;7;2022;01-12
2022-01-12;23;7;2022;01-12
2022-01-13;00;7;2022;01-13
2022-01-13;01;8;2022;01-13
2022-01-13;02;7;2022;01-13
2022-01-13;03;8;2022;01-13
2022-01-13;04;8;2022;01-13
2022-01-13;05;7;2022;01-13
2022-01-13;06;7;2022;01-13
2022-01-13;07;7;2022;01-13
2022-01-13;08;NA;2022;01-13
2022-01-13;09;6;2022;01-13
2022-01-13;10;6;2022;01-13
2022-01-13;11;NA;2022;01-13
2022-01-13;12;NA;2022;01-13
2022-01-13;13;5;2022;01-13
2022-01-13;14;5;2022;01-13
2022-01-13;15;5;2022;01-13
2022-01-13;16;5;2022;01-13
2022-01-13;17;5;2022;01-13
2022-01-13;18;5;2022;01-13
2022-01-13;19;5;2022;01-13
2022-01-13;20;NA;2022;01-13
2022-01-13;21;5;2022;01-13
2022-01-13;22;5;2022;01-13
2022-01-13;23;9;2022;01-13
2022-01-14;00;NA;2022;01-14
2022-01-14;01;4;2022;01-14
2022-01-14;02;NA;2022;01-14
2022-01-14;03;NA;2022;01-14
2022-01-14;04;NA;2022;01-14
2022-01-14;05;NA;2022;01-14
2022-01-14;06;4;2022;01-14
2022-01-14;07;4;2022;01-14
2022-01-14;08;4;2022;01-14
2022-01-14;09;4;2022;01-14
2022-01-14;10;7;2022;01-14
2022-01-14;11;NA;2022;01-14
2022-01-14;12;NA;2022;01-14
2022-01-14;13;NA;2022;01-14
2022-01-14;14;NA;2022;01-14
2022-01-14;15;NA;2022;01-14
2022-01-14;16;3;2022;01-14
2022-01-14;17;3;2022;01-14
2022-01-14;18;3;2022;01-14
2022-01-14;19;3;2022;01-14
2022-01-14;20;NA;2022;01-14
2022-01-14;21;NA;2022;01-14
2022-01-14;22;2;2022;01-14
2022-01-14;23;2;2022;01-14
2022-01-15;00;2;2022;01-15
2022-01-15;01;5;2022;01-15
2022-01-15;02;2;2022;01-15
2022-01-15;03;2;2022;01-15
2022-01-15;04;NA;2022;01-15
2022-01-15;05;5.5;2022;01-15
2022-01-15;06;6.33333333333333;2022;01-15
2022-01-15;07;6;2022;01-15
2022-01-15;08;6;2022;01-15
2022-01-15;09;NA;2022;01-15
2022-01-15;10;5;2022;01-15
2022-01-15;11;4;2022;01-15
2022-01-15;12;4;2022;01-15
2022-01-15;13;4.5;2022;01-15
2022-01-15;14;NA;2022;01-15
2022-01-15;15;4;2022;01-15
2022-01-15;16;NA;2022;01-15
2022-01-15;17;NA;2022;01-15
2022-01-15;18;NA;2022;01-15
2022-01-15;19;4;2022;01-15
2022-01-15;20;4;2022;01-15
2022-01-15;21;4;2022;01-15
2022-01-15;22;NA;2022;01-15
2022-01-15;23;4;2022;01-15
2022-01-16;00;4;2022;01-16
2022-01-16;01;4;2022;01-16
2022-01-16;02;NA;2022;01-16
2022-01-16;03;NA;2022;01-16
2022-01-16;04;4.5;2022;01-16
2022-01-16;05;4;2022;01-16
2022-01-16;06;5;2022;01-16
2022-01-16;07;6;2022;01-16
2022-01-16;08;NA;2022;01-16
2022-01-16;09;NA;2022;01-16
2022-01-16;10;NA;2022;01-16
2022-01-16;11;9;2022;01-16
2022-01-16;12;9;2022;01-16
2022-01-16;13;NA;2022;01-16
2022-01-16;14;NA;2022;01-16
2022-01-16;15;10;2022;01-16
2022-01-16;16;NA;2022;01-16
2022-01-16;17;15;2022;01-16
2022-01-16;18;NA;2022;01-16
2022-01-16;19;NA;2022;01-16
2022-01-16;20;9;2022;01-16
2022-01-16;21;8;2022;01-16
2022-01-16;22;7.66666666666667;2022;01-16
2022-01-16;23;NA;2022;01-16
2022-01-17;00;NA;2022;01-17
2022-01-17;01;NA;2022;01-17
2022-01-17;02;6;2022;01-17
2022-01-17;03;NA;2022;01-17
2022-01-17;04;6;2022;01-17
2022-01-17;05;NA;2022;01-17
2022-01-17;06;5;2022;01-17
2022-01-17;07;NA;2022;01-17
2022-01-17;08;5;2022;01-17
2022-01-17;09;NA;2022;01-17
2022-01-17;10;NA;2022;01-17
2022-01-17;11;NA;2022;01-17
2022-01-17;12;NA;2022;01-17
2022-01-17;13;4;2022;01-17
2022-01-17;14;4;2022;01-17
