WAARNEMINGDATUM HH NTU_h
2020-09-01 10 14
2020-09-01 11 14
2020-09-01 12 14
2020-09-01 13 15
2020-09-01 15 13
2020-09-01 19 19
2020-09-01 21 12
2021-09-01 00 16
2021-09-01 01 17.5
2021-09-01 03 12
2021-09-01 04 13.5
2021-09-01 06 15
2021-09-01 08 17
2021-09-01 10 16
2021-09-01 12 13
2021-09-01 14 11.6666666666667
2021-09-01 17 11
2021-09-01 18 11.6666666666667
2021-09-01 19 11.25
2021-09-01 21 15
2021-09-01 22 12.3333333333333
2021-09-01 23 5
2020-10-01 00 28
2020-10-01 02 10
2020-10-01 04 6
2020-10-01 06 11
2020-10-01 07 10.6
2020-10-01 08 9.4
2020-10-01 11 10
2020-10-01 12 11
2020-10-01 13 11
2020-10-01 14 14
2020-10-01 15 11
2020-10-01 17 16
2020-10-01 18 16
2020-10-01 19 15
2020-10-01 20 14
2020-10-01 21 23
2020-10-01 22 14.5
2020-10-01 23 15
2021-10-01 01 18
2021-10-01 02 19
2021-10-01 03 21
2021-10-01 05 21
2021-10-01 06 20
2021-10-01 07 19
2021-10-01 10 20
2021-10-01 11 19
2021-10-01 13 18
2021-10-01 15 18
2021-10-01 16 17
2021-10-01 19 18.6666666666667
2021-10-01 20 20
2021-10-01 21 20
2021-10-01 23 21
2020-11-01 00 24
2020-11-01 01 22.5
2020-11-01 03 23
2020-11-01 04 19
2020-11-01 05 19
2020-11-01 06 19
2020-11-01 07 26
2020-11-01 08 21
2020-11-01 09 23.6666666666667
2020-11-01 10 26.5
2020-11-01 11 24
2020-11-01 12 29.5
2020-11-01 13 27
2020-11-01 16 26
2020-11-01 18 27
2020-11-01 20 41
2020-11-01 22 25
2020-11-01 23 34.5
2021-11-01 00 24
2021-11-01 02 27
2021-11-01 03 27
2021-11-01 05 29
2021-11-01 06 29.75
2021-11-01 07 30.5
2021-11-01 08 29
2021-11-01 09 30.6666666666667
2021-11-01 10 30.5
2021-11-01 11 30
2021-11-01 12 31
2021-11-01 13 30
2021-11-01 14 29
2021-11-01 15 28
2021-11-01 17 25.6666666666667
2021-11-01 18 29
2021-11-01 19 28
